"GALLERY","num_arrests"
"215114",3
"239846",3
"241893",3
"259675",9
"265825",3
"266166",3
"268360",3
"269131",17
"275858",3
"277548",6
"280086",3
"284901",4
"287290",4
"291468",3
"291871",4
"294487",3
"294832",3
"294959",3
"295090",4
"297554",6
"298721",3
"301885",3
"303201",5
"303304",3
"305035",3
"309763",3
"311805",3
"315026",3
"317832",3
"317879",3
"320339",3
"323440",5
"324219",3
"327808",4
"332491",3
"334119",4
"334623",3
"335021",3
"335141",3
"335585",3
"337690",3
"338546",3
"341199",8
"341333",7
"342970",3
"343627",3
"343879",3
"344984",4
"345473",3
"347499",10
"349112",3
"352853",3
"353820",3
"354066",3
"358150",6
"359924",3
"361921",3
"362361",4
"364404",5
"365019",3
"368058",3
"372756",3
"373852",3
"374759",3
"401186",4
"411253",3
"411264",4
"411288",4
"412899",3
"412905",4
"414192",4
"414614",4
"415486",3
"418484",5
"420546",5
"422047",5
"422317",3
"425586",3
"427119",3
"428659",3
"428838",4
"429865",3
"430353",6
"431301",3
"434623",3
"437429",3
"437560",3
"440969",3
"441204",4
"443269",5
"443494",3
"445361",3
"447563",4
"448559",3
"448901",3
"450113",3
"452560",3
"454192",3
"454512",3
"455337",3
"457130",3
"457184",5
"459374",3
"461553",3
"464125",3
"465029",3
"465159",4
"465960",10
"469634",4
"472555",4
"473098",3
"475893",3
"476581",3
"476682",3
"478825",3
"480239",3
"482641",3
"482853",3
"483907",4
"486113",3
"486314",3
"488740",3
"489883",3
"490732",3
"492057",3
"492086",3
"494809",4
"495168",3
"495246",3
"496276",3
"496496",3
"497298",3
"498043",4
"498460",3
"499036",3
"499176",3
"499335",4
"499765",5
"500491",4
"500533",3
"501851",3
"502053",4
"502120",3
"502763",4
"503763",3
"503955",5
"505154",6
"505491",3
"506564",3
"506834",3
"508403",3
"508642",4
"508898",3
"509605",3
"511503",3
"512166",3
"512572",4
"513322",3
"514676",4
"514730",3
"518094",3
"518702",5
"518809",5
"521001",5
"521089",5
"522582",3
"523720",3
"524993",5
"526615",4
"528875",3
"528954",4
"529409",3
"533229",4
"533313",3
"535105",3
"537015",3
"538614",4
"538922",4
"539505",3
"540588",3
"540646",3
"541966",4
"542991",3
"543129",3
"543168",10
"544419",3
"544683",3
"545330",3
"547230",4
"550453",3
"551541",3
"551802",3
"552439",3
"552684",5
"552936",3
"554373",3
"554675",6
"555029",3
"555645",3
"556745",3
"557448",3
"558715",5
"558735",3
"558794",3
"560063",4
"560624",4
"561091",3
"561156",5
"561433",4
"561576",3
"562173",3
"562174",3
"563505",5
"564453",6
"565109",3
"565132",5
"565279",5
"565799",3
"567144",4
"567626",3
"567776",5
"570108",4
"570317",3
"571145",3
"572215",4
"573491",3
"573584",3
"574900",3
"574970",4
"575335",3
"577956",3
"578965",3
"579452",3
"580563",3
"580722",6
"580885",3
"581255",3
"582167",7
"582544",5
"583132",5
"583360",4
"586162",4
"586495",3
"588498",4
"589100",3
"589805",3
"590329",4
"590976",3
"591468",3
"591911",3
"591960",3
"592070",3
"592339",5
"592506",3
"592610",3
"594231",4
"594798",3
"594943",3
"595144",4
"595942",3
"597257",4
"598212",3
"598659",3
"599212",3
"599274",4
"599845",3
"600400",5
"600597",5
"600737",3
"600794",8
"601535",3
"602044",3
"602063",3
"604082",5
"604304",5
"605347",3
"605386",3
"605404",3
"605449",3
"606608",3
"608993",3
"610447",3
"610823",4
"611035",6
"611207",3
"611436",3
"611777",3
"612118",3
"612873",3
"615697",4
"615948",3
"618216",3
"618583",3
"619140",3
"619424",3
"619886",9
"620137",3
"621006",6
"621077",3
"621586",3
"621745",6
"622342",6
"622496",6
"623185",3
"623488",3
"623853",3
"624202",4
"624612",4
"625098",3
"625165",3
"625284",3
"625319",3
"625908",3
"626216",3
"626841",3
"627146",3
"627875",3
"628147",4
"628151",3
"628547",3
"629016",5
"630795",3
"634972",3
"636338",4
"636779",8
"636997",3
"637575",3
"638437",4
"638940",3
"639101",3
"639587",3
"640915",3
"641195",5
"641276",3
"641339",3
"641565",7
"641658",4
"642185",3
"642661",3
"643641",8
"644225",3
"645149",3
"645524",3
"645547",7
"645610",3
"646708",3
"647199",3
"648332",4
"648587",3
"649404",4
"650451",3
"650760",3
"650939",5
"651222",6
"651744",4
"652229",3
"652348",8
"652555",4
"653294",3
"653601",3
"653633",3
"653656",5
"653728",4
"654542",3
"655023",3
"656623",8
"657290",3
"658013",3
"658127",5
"658164",5
"658568",7
"658574",3
"658879",3
"659170",3
"659205",9
"660302",3
"660543",3
"660559",3
"660842",3
"661092",3
"662246",3
"663481",5
"663773",3
"664979",6
"665080",4
"666297",6
"667526",3
"668328",3
"668587",3
"669734",3
"669962",3
"670397",3
"670537",3
"671240",3
"671787",4
"673454",6
"674628",3
"674807",4
"674898",4
"675104",4
"675274",3
"675906",3
"676444",3
"676556",3
"677778",3
"678271",3
"678954",3
"680247",3
"682166",3
"682629",3
"682793",3
"683201",4
"683203",3
"683565",5
"683588",4
"683948",3
"685701",4
"685848",3
"686595",4
"688122",7
"688199",3
"688204",3
"688589",3
"688709",7
"689038",3
"689622",3
"689959",3
"690262",3
"690618",6
"690790",4
"691311",3
"691676",3
"693294",3
"693442",3
"693756",3
"694021",5
"694050",5
"694471",3
"694598",4
"694792",4
"694824",5
"695176",4
"695334",3
"696128",3
"696487",3
"696577",4
"696701",4
"696820",3
"697852",4
"698471",3
"698674",3
"698704",3
"699002",3
"699047",3
"699433",3
"699483",5
"699685",7
"700007",3
"700222",5
"700752",3
"701449",3
"701644",8
"701675",4
"702497",3
"702520",3
"703138",4
"703233",3
"703235",3
"704226",3
"704367",3
"704504",4
"704521",3
"704542",3
"704544",3
"704825",3
"705249",4
"705876",3
"706241",3
"707005",4
"707250",3
"707745",3
"707828",4
"708645",3
"708777",6
"709068",4
"710028",6
"710269",3
"710961",3
"711166",3
"712587",3
"712616",3
"713241",3
"714261",4
"714301",9
"714752",3
"715442",4
"715695",4
"715966",3
"716061",4
"716161",4
"716255",4
"716480",3
"716540",3
"717716",3
"718101",3
"718552",3
"719385",3
"720276",3
"720353",3
"720579",3
"720923",4
"722359",3
"722643",3
"723196",3
"723209",3
"723424",3
"723727",3
"724119",16
"724403",3
"725222",4
"725532",3
"726106",3
"726166",3
"727566",14
"729422",4
"729425",3
"729531",3
"729684",3
"730526",3
"730751",3
"731702",6
"733306",3
"733395",3
"733953",3
"733956",3
"734085",3
"734173",6
"734692",3
"737405",3
"737641",4
"737914",3
"738158",3
"738848",3
"739057",4
"739211",3
"739269",5
"739494",4
"740822",3
"741284",3
"741825",3
"742031",3
"742909",4
"742920",3
"743772",3
"743910",3
"744262",3
"745235",3
"745329",3
"745736",3
"745947",5
"746205",3
"746483",4
"747127",4
"747382",4
"747542",3
"748757",3
"749001",3
"749582",3
"749794",3
"750015",5
"750117",3
"750607",3
"751451",4
"752009",4
"752528",3
"752535",3
"752732",3
"754266",6
"754516",3
"754609",3
"754644",6
"755387",3
"756275",3
"757426",3
"758390",3
"758859",3
"770326",3
"770483",4
