"GALLERY","num_arrests"
"000000178622",4
"000000240849",4
"000000269131",4
"000000275128",3
"000000277548",3
"000000350865",3
"000000365465",4
"000000408373",3
"000000412899",5
"000000422062",3
"000000430339",3
"000000432367",3
"000000448488",3
"000000454987",4
"000000473644",3
"000000487278",3
"000000518702",3
"000000529809",4
"000000536818",3
"000000561192",4
"000000589412",5
"000000592339",4
"000000592487",3
"000000597902",3
"000000600794",4
"000000601535",4
"000000602217",3
"000000609003",3
"000000621006",7
"000000621977",3
"000000641195",4
"000000641823",3
"000000645547",3
"000000646708",5
"000000656193",3
"000000659205",10
"000000664979",3
"000000670397",4
"000000674821",3
"000000675158",3
"000000677766",4
"000000686595",3
"000000688997",3
"000000699685",3
"000000704935",3
"000000706112",4
"000000706669",3
"000000708777",4
"000000712860",3
"000000717095",3
"000000724119",3
"000000724377",3
"000000727566",4
"000000731905",4
"000000734173",3
"000000734365",3
"000000750015",4
"000000751747",4
"000000772296",3
"000000777182",3
"000000781017",4
"000000786565",3
"000000795457",3
"000000798281",4
"000000798756",5
"000000802732",4
"000000807515",4
"000000807572",4
"000000812908",4
"000000821868",3
"000000824184",3
"000000825984",3
"000000826252",3
"000000832056",3
"000000834030",3
"000000836820",5
"000000838468",3
"000000839152",3
"000000839288",6
"000000841522",3
"000000844551",5
"000000847296",4
"000000847310",3
"000000847419",3
"000000847697",3
"000000847911",3
"000000848423",3
"000000848555",3
"180769",3
"231646",3
"248075",3
"252401",8
"252939",3
"258790",4
"259675",4
"268360",3
"269131",13
"275128",3
"277548",12
"280086",3
"282814",6
"287279",4
"297554",4
"305151",3
"309356",5
"309875",3
"311805",3
"314836",3
"315026",7
"315664",3
"323440",5
"327808",3
"329208",3
"330661",3
"335326",3
"335585",3
"341199",10
"345473",3
"347499",5
"350865",3
"358150",3
"358943",3
"359924",3
"360811",3
"362361",5
"364404",3
"365019",3
"365465",3
"373340",3
"400390",3
"401015",8
"408784",3
"409708",4
"411264",3
"411940",3
"412899",3
"415491",3
"419095",3
"420240",3
"421104",4
"425586",3
"426015",3
"427774",3
"430339",4
"430353",5
"430687",3
"431301",3
"435732",3
"435953",3
"439791",4
"442298",3
"443269",5
"444080",3
"451301",3
"453316",3
"462842",3
"464125",3
"468159",3
"468528",3
"469120",3
"472555",3
"473098",3
"474030",3
"476205",4
"476581",3
"481746",3
"482399",3
"484648",3
"487021",4
"487278",6
"487683",4
"488969",3
"489883",3
"490068",4
"490732",3
"491313",3
"492086",3
"493338",3
"493670",4
"493906",3
"494809",3
"494983",3
"496126",3
"496859",3
"497156",3
"497298",4
"498422",4
"498619",3
"499765",4
"503442",3
"503955",3
"504332",4
"506218",5
"506564",3
"506834",4
"507622",4
"510335",3
"510359",3
"510691",3
"511331",3
"512312",3
"512572",3
"513063",4
"513439",3
"516036",3
"516388",3
"516716",3
"517688",4
"517839",3
"518702",9
"518809",4
"519534",3
"520049",3
"521001",4
"521089",6
"521507",3
"524993",3
"525754",4
"525959",3
"526615",4
"527258",6
"528875",3
"529159",4
"529809",7
"531810",3
"533418",4
"535105",6
"535757",3
"536204",4
"537344",5
"538922",3
"539305",3
"539964",3
"540069",4
"541966",5
"543059",6
"543168",5
"543336",3
"546032",4
"550453",3
"551802",4
"552684",3
"552936",3
"554621",3
"554675",3
"555282",3
"556688",4
"558715",5
"561576",3
"563062",3
"563505",3
"563854",3
"564453",3
"565132",5
"565279",5
"565754",3
"567125",4
"568204",3
"571281",3
"571622",3
"572849",3
"572974",3
"573347",4
"574861",3
"574970",3
"576642",3
"578965",4
"579452",5
"579732",3
"580155",3
"580722",4
"582637",3
"583057",3
"584147",3
"584791",4
"584887",3
"586162",4
"586782",4
"587048",3
"588498",3
"589452",4
"590116",3
"590687",3
"590953",3
"591911",3
"591933",3
"592200",4
"592807",3
"594231",3
"595363",3
"597168",4
"599075",4
"599212",5
"599775",4
"600400",3
"600794",5
"600812",3
"601423",3
"601535",7
"601622",3
"602217",4
"602760",3
"604082",3
"605882",3
"606232",3
"608944",3
"611207",4
"611254",3
"611320",5
"612873",4
"612991",3
"614210",4
"616050",4
"616741",3
"616999",3
"617483",4
"619262",3
"619886",10
"621006",8
"621510",3
"621745",3
"621863",3
"622342",11
"622496",6
"622520",3
"623185",3
"623866",3
"624110",4
"624565",4
"624716",3
"625098",3
"625410",3
"626841",3
"627595",3
"628377",3
"629763",5
"630570",3
"630918",3
"631711",3
"633660",4
"633980",3
"634972",3
"636983",3
"636997",4
"637009",3
"638126",3
"638940",5
"639502",3
"639587",3
"640734",4
"641025",3
"641132",3
"641195",5
"641565",3
"642570",4
"643002",3
"643155",3
"643251",3
"643641",4
"643839",3
"644515",3
"645013",3
"645362",3
"645524",3
"645547",6
"646708",3
"646890",3
"647391",3
"647603",3
"648332",3
"648705",4
"649433",3
"651159",4
"651442",5
"652348",6
"652555",3
"653601",4
"655979",3
"656193",4
"656623",4
"656671",3
"656675",3
"657678",3
"658879",3
"659205",16
"659335",3
"660559",3
"660712",3
"660913",3
"661215",3
"661664",3
"662680",3
"662879",6
"663089",3
"663481",4
"663492",4
"663568",3
"663600",3
"664979",14
"665080",3
"665729",3
"666655",3
"669713",4
"669775",3
"670397",5
"671240",6
"671787",3
"672820",3
"674904",4
"676028",3
"676172",8
"676556",5
"676926",3
"677041",3
"677120",3
"677222",5
"677452",3
"677778",3
"678271",3
"678915",3
"679257",3
"683174",4
"683588",3
"685040",3
"685196",3
"685479",3
"685701",3
"685862",3
"686063",3
"686595",6
"686689",4
"686770",3
"687467",4
"687926",3
"688122",5
"688320",3
"688709",6
"688981",3
"689747",3
"690618",3
"690790",3
"690845",3
"691157",4
"693294",3
"693358",4
"693442",3
"694007",3
"694021",5
"696547",4
"696988",4
"697037",3
"697082",4
"697639",3
"697796",4
"699015",3
"699685",3
"699780",3
"700007",4
"701084",6
"701644",6
"701973",3
"702074",3
"703616",3
"703831",3
"704406",4
"704504",3
"706145",3
"706241",6
"706290",3
"707080",3
"707311",3
"707745",3
"708777",10
"708803",3
"709252",4
"709376",3
"710028",6
"711071",4
"711166",4
"711835",3
"712099",3
"712538",4
"712841",4
"713241",4
"713534",4
"714116",3
"714189",3
"714261",3
"714301",8
"714433",3
"714500",3
"714578",3
"715451",3
"715693",3
"715695",3
"716480",3
"716656",3
"717095",5
"719366",3
"719862",4
"720193",3
"720513",3
"721363",3
"721540",3
"721820",5
