"GALLERY","num_arrests"
"180769",4
"189098",3
"215114",3
"231646",3
"233130",3
"239846",4
"241893",3
"244740",3
"248075",4
"249906",3
"252401",9
"252939",4
"258790",4
"259675",11
"259884",4
"263548",4
"265825",3
"266166",3
"268360",5
"269080",3
"269131",26
"270779",3
"273302",3
"275128",3
"275858",4
"277548",12
"279425",3
"279588",3
"280086",4
"280484",3
"282702",3
"282814",8
"284901",4
"287279",5
"287290",4
"289602",3
"289928",3
"290504",3
"291468",3
"291871",4
"294487",5
"294832",3
"294959",5
"295090",5
"297554",8
"297613",3
"298307",4
"298721",5
"300182",3
"300261",3
"300297",3
"301885",3
"302954",3
"303201",5
"303304",3
"305035",5
"305151",3
"308221",3
"309356",5
"309763",3
"309875",4
"311805",3
"314426",3
"314836",4
"315026",7
"315555",4
"315664",3
"317832",3
"317879",3
"317977",3
"318178",3
"318526",4
"320339",3
"320994",5
"323440",5
"323954",3
"324219",3
"324693",3
"324863",3
"325224",3
"326157",3
"326276",3
"327808",4
"329208",3
"330661",3
"332491",3
"334119",5
"334623",6
"335021",3
"335141",3
"335326",3
"335581",3
"335585",5
"337690",3
"338546",3
"341199",17
"341333",7
"342970",3
"343627",4
"343676",3
"343879",5
"344984",4
"345473",5
"347499",15
"348470",4
"349112",3
"350865",4
"352191",3
"352530",3
"352853",3
"353820",3
"354066",3
"354482",3
"358068",3
"358150",8
"358470",3
"358943",3
"359924",4
"360811",3
"361412",3
"361921",3
"361931",3
"362361",5
"363791",3
"364404",6
"365019",4
"365465",3
"368058",3
"369808",3
"372756",3
"373340",4
"373852",3
"374266",3
"374759",3
"374774",3
"375271",3
"376547",3
"376574",5
"376683",3
"379303",3
"400100",3
"400390",3
"401015",8
"401186",4
"403689",3
"404292",3
"406624",3
"407880",3
"408502",3
"408784",4
"409708",5
"411253",4
"411264",9
"411288",4
"411940",3
"412219",3
"412830",4
"412899",5
"412905",6
"414192",4
"414614",5
"414693",4
"414839",3
"415486",3
"415491",3
"416822",3
"418484",6
"419095",3
"419500",3
"420240",3
"420546",6
"421104",5
"422047",5
"422062",3
"422317",3
"425586",4
"426015",3
"426061",3
"426063",3
"426121",3
"427119",3
"427774",4
"428150",3
"428658",3
"428659",4
"428838",4
"429074",3
"429865",3
"430339",4
"430353",8
"430687",5
"431301",5
"432481",4
"432762",3
"434623",4
"435732",4
"435953",4
"436407",4
"436700",3
"437066",3
"437429",4
"437560",4
"437849",3
"439019",4
"439791",5
"439994",3
"440133",3
"440946",3
"440969",3
"441204",4
"442298",3
"443076",3
"443269",7
"443494",4
"444080",6
"445186",3
"445361",3
"446396",3
"447563",4
"447855",4
"447919",4
"448488",3
"448559",4
"448901",4
"450113",3
"450194",4
"451301",3
"452124",4
"452560",4
"453316",3
"453412",3
"454192",3
"454512",3
"455337",4
"456481",3
"457130",4
"457184",5
"458440",3
"459374",3
"459549",4
"459753",3
"460365",4
"460933",3
"461251",3
"461419",3
"461553",3
"462515",3
"462842",3
"463151",3
"463792",3
"464125",3
"464485",3
"465029",4
"465159",5
"465960",13
"467196",3
"467475",3
"468159",3
"468413",4
"468528",3
"469120",3
"469487",3
"469634",5
"470007",3
"472555",5
"473098",4
"473310",3
"474030",3
"474035",3
"474769",3
"475893",4
"476205",4
"476581",4
"476682",3
"478825",3
"479315",3
"480239",3
"481520",3
"481746",5
"481941",3
"482399",4
"482641",4
"482853",4
"483907",5
"484648",3
"485080",3
"485748",3
"486113",3
"486314",3
"486722",3
"487021",5
"487278",6
"487683",4
"487984",3
"488526",3
"488740",3
"488969",3
"489883",4
"490068",5
"490732",5
"491313",4
"492057",3
"492086",4
"492193",3
"492967",3
"493338",4
"493456",3
"493670",6
"493906",3
"494809",6
"494983",3
"495168",4
"495246",3
"495729",3
"495880",3
"496126",3
"496276",4
"496496",4
"496859",3
"497156",3
"497160",3
"497298",4
"497508",3
"498043",5
"498422",4
"498460",3
"498619",3
"499036",3
"499153",3
"499176",4
"499335",4
"499364",3
"499765",5
"500219",4
"500491",5
"500533",4
"501851",4
"502053",4
"502054",3
"502120",3
"502739",3
"502763",4
"503442",3
"503763",3
"503955",5
"504332",4
"505154",6
"505491",3
"506218",6
"506452",3
"506564",4
"506834",6
"506948",3
"507622",4
"507814",3
"508213",3
"508403",3
"508642",4
"508898",5
"509605",3
"510335",3
"510359",4
"510376",3
"510573",3
"510691",4
"511087",3
"511331",3
"511503",3
"512075",3
"512166",4
"512189",4
"512312",3
"512463",4
"512572",5
"512638",4
"513063",4
"513322",3
"513439",4
"513627",3
"514676",5
"514730",3
"515650",3
"516036",3
"516388",4
"516654",3
"516716",3
"517688",4
"517839",4
"518094",3
"518173",3
"518702",15
"518809",9
"519534",3
"520049",3
"520463",3
"521001",5
"521089",10
"521507",4
"521578",4
"522582",4
"523720",4
"524993",6
"525211",3
"525642",3
"525678",3
"525754",7
"525904",3
"525959",3
"526168",3
"526394",3
"526538",3
"526615",5
"527258",7
"527440",3
"528875",6
"528954",5
"529145",3
"529159",5
"529409",3
"529704",3
"529809",9
"531810",3
"532522",3
"533229",4
"533257",3
"533313",4
"533418",5
"533677",3
"535105",9
"535757",4
"536204",4
"536780",3
"537015",3
"537344",6
"537718",3
"538614",4
"538922",6
"539305",3
"539505",3
"539731",3
"539964",3
"540069",4
"540123",3
"540588",3
"540646",3
"541468",3
"541966",6
"542745",4
"542991",5
"543059",7
"543129",3
"543168",12
"543336",3
"543572",4
"543589",3
"544171",3
"544419",4
"544660",3
"544683",3
"545031",3
"545282",3
"545294",4
