"GALLERY","num_arrests"
"215114",3
"239846",3
"241893",3
"259675",11
"263548",4
"265825",3
"266166",3
"268360",3
"269131",18
"275858",3
"277548",5
"280086",3
"284901",4
"287290",4
"291468",3
"291871",4
"294487",4
"294832",3
"294959",4
"295090",4
"297554",5
"298307",3
"298721",3
"300182",3
"301885",3
"303201",5
"303304",3
"305035",3
"309763",3
"311805",3
"315026",3
"315555",3
"317832",3
"317879",3
"318526",3
"320339",3
"320994",3
"323440",5
"324219",3
"327808",4
"332491",3
"334119",4
"334623",4
"335021",3
"335141",3
"335585",3
"337690",3
"338546",3
"341199",8
"341333",7
"342970",3
"343627",3
"343879",3
"344984",4
"345473",3
"347499",12
"348470",4
"349112",3
"352191",3
"352853",3
"353820",3
"354066",3
"358150",7
"359924",3
"361921",3
"362361",4
"363791",3
"364404",4
"365019",3
"368058",3
"369808",3
"372756",3
"373852",3
"374759",3
"376574",3
"376683",3
"401186",4
"406624",3
"411253",3
"411264",6
"411288",4
"412830",3
"412899",3
"412905",4
"414192",4
"414614",5
"414839",3
"415486",3
"418484",5
"420546",5
"422047",5
"422317",3
"425586",3
"427119",3
"428659",3
"428838",4
"429865",3
"430353",6
"430687",3
"431301",3
"432481",3
"434623",3
"437066",3
"437429",3
"437560",3
"440946",3
"440969",3
"441204",4
"443269",5
"443494",4
"444080",3
"445361",3
"447563",4
"448559",3
"448901",3
"450113",3
"452560",3
"454512",3
"455337",3
"457130",3
"457184",5
"459374",3
"459549",3
"460365",3
"461553",3
"462515",3
"464125",3
"465029",3
"465159",4
"465960",12
"467196",3
"468413",3
"469634",4
"472555",4
"473098",3
"475893",3
"476581",3
"476682",3
"478825",3
"480239",3
"482641",3
"482853",3
"483907",4
"486113",3
"486314",3
"488740",3
"489883",3
"490732",3
"492057",3
"492193",3
"494809",4
"495168",4
"495246",3
"496276",3
"496496",3
"497160",3
"497298",3
"498043",5
"498460",3
"499036",3
"499153",3
"499176",3
"499335",4
"499765",5
"500491",4
"500533",3
"501851",3
"502053",4
"502120",3
"502763",4
"503763",3
"503955",5
"505154",6
"505491",3
"506564",3
"506834",3
"508403",3
"508642",4
"508898",3
"509605",3
"511503",3
"512166",3
"512189",3
"512572",4
"513322",3
"514676",4
"514730",3
"518094",3
"518702",8
"518809",6
"521001",5
"521089",6
"522582",3
"523720",3
"524993",5
"525754",3
"526168",3
"526394",3
"526615",4
"528875",4
"528954",5
"529409",3
"529809",3
"533229",4
"533313",3
"535105",3
"537015",3
"538614",4
"538922",5
"540588",3
"540646",3
"541966",4
"542745",3
"542991",4
"543129",3
"543168",11
"544419",3
"544683",3
"545294",3
"545330",3
"546742",3
"547230",4
"550453",3
"551541",3
"551802",3
"552439",3
"552684",6
"552936",4
"554373",3
"554675",6
"555029",3
"555645",3
"556745",3
"557448",3
"558715",5
"558735",3
"558794",3
"560063",4
"560624",4
"561091",3
"561156",5
"561433",5
"561576",3
"562173",3
"562174",3
"563062",3
"563505",6
"564453",6
"565109",3
"565132",5
"565279",4
"565799",3
"567144",4
"567626",3
"567776",5
"570108",5
"570317",3
"571145",3
"572215",6
"573491",3
"573584",3
"574667",3
"574900",3
"574970",5
"575335",3
"577956",3
"578965",3
"579189",3
"579452",3
"580411",3
"580563",3
"580722",7
"580885",3
"581255",3
"582167",7
"582544",5
"583132",5
"583136",4
"583360",4
"584887",3
"586162",4
"586495",3
"587760",3
"588498",5
"589100",3
"589805",3
"590329",4
"590976",3
"591043",3
"591202",3
"591468",3
"591911",3
"591960",3
"592070",3
"592339",5
"592506",3
"592610",3
"593788",3
"594231",4
"594798",3
"594943",3
"595144",4
"595942",3
"597257",4
"598212",4
"598420",3
"598659",3
"599212",3
"599274",4
"599845",4
"600400",5
"600597",6
"600737",3
"600794",8
"600853",3
"601535",3
"601586",3
"602044",3
"602063",3
"603524",3
"604082",6
"604304",5
"605347",3
"605386",3
"605404",4
"605449",3
"606608",3
"607778",3
"608993",3
"610447",3
"610823",4
"611035",6
"611207",4
"611254",3
"611436",3
"611777",3
"612118",3
"612821",3
"612873",3
"615697",4
"615948",3
"618216",3
"618583",3
"619140",3
"619424",3
"619673",3
"619886",9
"620137",3
"621006",6
"621077",3
"621510",3
"621586",3
"621745",6
"621977",3
"622342",7
"622496",6
"623185",3
"623488",3
"623853",3
"624202",4
"624506",3
"624612",4
"625098",3
"625165",4
"625284",3
"625319",3
"625908",3
"626216",3
"626841",4
"627146",3
"627420",3
"627584",3
"627875",4
"628147",4
"628151",4
"628535",3
"628547",3
"628770",3
"629016",5
"629529",3
"630795",3
"630803",3
"633660",3
"634972",3
"635283",3
"636338",4
"636779",9
"636997",4
"637575",3
"638126",3
"638437",4
"638473",3
"638940",3
"639101",3
"639587",3
"640915",3
"641195",5
"641276",3
"641339",3
"641565",7
"641658",4
"642185",3
"642661",3
"643641",8
"644225",3
"645149",3
"645524",4
"645547",7
"645610",3
"645751",3
"646708",3
"646774",3
"647199",3
"647398",3
"648332",5
"648587",3
"648624",3
"649404",4
"649433",3
"650451",3
"650760",3
"650939",5
"651157",3
"651222",6
"651744",4
"652229",4
"652348",9
"652555",4
"653294",3
"653601",3
"653633",3
"653656",5
"653728",5
"654542",3
"655023",3
"656623",9
"656664",4
"657290",3
"658013",3
"658127",5
"658164",8
"658568",7
"658574",4
"658879",3
"659159",3
"659170",3
"659205",10
"660302",3
"660543",3
"660559",3
"660712",3
"660842",3
"661092",3
"662246",3
"662264",3
"663481",6
"663773",3
"664979",8
"665080",5
"665733",3
"666297",6
"667526",3
"668055",3
"668328",3
"668587",3
"668938",3
"669734",3
"669962",3
"670397",3
"670537",5
"671240",3
"671787",4
"673148",3
"673454",6
"674628",3
"674807",4
"674898",4
"675104",4
"675274",3
"675906",3
"676270",3
"676444",3
"676556",3
"676926",3
"678271",4
"678954",3
"680247",3
"682166",3
"682629",3
"682793",3
"683174",3
"683201",4
"683565",6
"683588",4
"683948",3
"684811",3
"685701",4
"685801",3
"685848",3
"685862",3
"686595",4
"687467",3
"688122",8
"688199",3
"688204",3
"688589",3
"688709",8
"689038",4
"689622",3
"689959",3
"690262",3
"690618",6
"690790",4
"691311",3
"691676",3
"693294",3
"693442",3
"693756",3
"694021",5
"694050",5
"694471",3
"694598",4
"694792",4
"694824",5
"694964",3
"695176",4
"695334",3
"696128",3
"696487",3
"696577",5
"696701",4
"696820",3
"696847",3
"697852",4
"698101",3
"698471",3
"698674",3
"698704",3
"699002",3
"699047",4
"699433",3
"699483",5
"699685",7
"700007",3
"700222",5
"700752",3
"701449",3
"701644",9
"701675",5
"702497",3
"702520",3
"703138",4
"703233",3
"703235",3
"704226",3
"704367",3
"704504",4
"704521",3
"704542",3
"704544",3
"704825",3
"705249",4
"705876",3
"706128",3
"706241",3
"707005",4
"707250",4
"707745",3
"707828",4
"708645",3
"708777",6
"709068",4
"709539",3
"709832",3
"710028",6
"710269",3
"710325",3
"710961",3
"711166",3
"712587",4
"712616",3
"713194",3
"713241",3
"714261",4
"714264",3
"714301",9
"714752",3
"715442",4
