"GALLERY","num_arrests"
"180769",4
"231646",3
"248075",4
"252401",9
"252939",3
"258790",4
"259675",8
"263548",3
"268360",4
"269080",3
"269131",16
"275128",3
"277548",12
"279425",3
"280086",3
"280484",3
"282702",3
"282814",8
"287279",4
"290504",3
"291871",3
"294487",3
"294959",4
"295090",4
"297554",5
"298721",4
"305151",3
"309356",5
"309875",3
"311805",3
"314836",3
"315026",7
"315555",3
"315664",3
"317977",3
"318526",3
"320994",3
"323440",5
"327808",4
"329208",3
"330661",3
"334623",4
"335326",3
"335581",3
"335585",4
"341199",10
"345473",4
"347499",7
"348470",3
"350865",4
"354482",3
"358150",4
"358943",3
"359924",3
"360811",3
"362361",5
"364404",4
"365019",3
"365465",3
"373340",4
"375271",3
"376574",4
"400390",3
"401015",8
"403689",3
"408784",3
"409708",4
"411253",3
"411264",6
"411940",3
"412899",3
"412905",4
"415491",3
"416822",3
"419095",3
"420240",3
"421104",4
"422062",3
"422317",3
"425586",3
"426015",3
"426061",3
"427774",3
"428838",3
"429074",3
"430339",4
"430353",5
"430687",5
"431301",4
"432481",3
"432762",3
"435732",3
"435953",3
"436407",3
"439791",4
"440133",3
"442298",3
"443269",6
"443494",3
"444080",5
"447855",3
"447919",3
"448488",3
"448901",3
"450194",3
"451301",3
"452124",3
"453316",3
"458440",3
"460365",3
"462842",3
"463151",3
"463792",3
"464125",3
"465159",3
"465960",7
"468159",3
"468528",3
"469120",3
"469487",3
"472555",4
"473098",3
"474030",3
"475893",3
"476205",4
"476581",3
"481746",4
"482399",3
"482641",3
"482853",3
"483907",3
"484648",3
"485748",3
"487021",4
"487278",6
"487683",4
"488969",3
"489883",3
"490068",5
"490732",3
"491313",3
"492086",3
"493338",3
"493670",5
"493906",3
"494809",4
"494983",3
"496126",3
"496496",4
"496859",3
"497156",3
"497298",4
"497508",3
"498043",3
"498422",4
"498460",3
"498619",3
"499765",4
"500491",3
"501851",3
"502054",3
"503442",3
"503955",3
"504332",4
"505154",3
"506218",5
"506452",3
"506564",4
"506834",5
"507622",4
"508898",3
"510335",3
"510359",3
"510691",3
"511087",3
"511331",3
"512189",3
"512312",3
"512572",3
"512638",3
"513063",4
"513439",3
"516036",3
"516388",3
"516654",3
"516716",3
"517688",4
"517839",3
"518094",3
"518702",12
"518809",6
"519534",3
"520049",3
"521001",5
"521089",8
"521507",3
"521578",4
"522582",3
"524993",3
"525211",3
"525754",5
"525959",3
"526615",5
"527258",6
"527440",3
"528875",4
"528954",3
"529145",3
"529159",4
"529704",3
"529809",9
"531810",3
"533257",3
"533313",3
"533418",5
"533677",3
"535105",7
"535757",3
"536204",4
"536780",3
"537344",5
"537718",3
"538922",4
"539305",3
"539731",3
"539964",3
"540069",4
"541966",5
"542745",3
"542991",3
"543059",6
"543168",7
"543336",3
"543572",3
"544171",3
"545282",3
"545294",3
"546032",4
"546246",3
"550453",4
"551451",3
"551802",4
"552684",5
"552936",4
"554373",3
"554621",3
"554675",3
"555282",4
"556688",4
"558715",6
"558735",3
"560063",3
"561149",3
"561433",4
"561576",3
"561874",3
"563062",5
"563505",5
"563854",3
"564453",4
"565132",7
"565279",6
"565754",3
"567125",5
"567144",3
"568204",3
"568306",3
"568717",3
"570108",3
"570317",3
"571281",3
"571622",3
"572215",4
"572805",3
"572849",3
"572974",3
"573347",4
"573663",3
"574667",3
"574861",4
"574970",6
"576642",3
"578129",3
"578877",3
"578965",5
"579189",3
"579450",3
"579452",5
"579732",3
"580155",3
"580411",3
"580658",4
"580722",5
"580983",3
"582637",3
"583046",3
"583057",3
"583136",4
"584147",3
"584791",4
"584887",4
"586162",4
"586298",3
"586769",3
"586782",5
"587048",3
"587760",3
"588498",4
"589175",3
"589452",5
"589595",3
"590053",3
"590116",4
"590687",3
"590746",3
"590953",3
"591202",4
"591911",3
"591933",3
"592200",4
"592807",3
"593231",3
"593269",3
"593383",3
"593859",3
"594231",4
"595027",3
"595363",3
"597168",4
"597646",3
"598212",3
"598420",3
"599075",4
"599212",6
"599775",4
"600400",3
"600794",6
"600812",3
"600853",3
"601162",3
"601330",3
"601423",3
"601535",7
"601586",4
"601622",3
"602217",5
"602760",3
"603306",3
"603991",3
"604082",7
"604144",4
"605374",3
"605882",3
"606232",3
"606327",3
"607778",3
"608944",3
"608993",3
"611207",5
"611254",4
"611320",5
"612873",4
"612991",3
"614210",4
"615697",3
"616007",3
"616050",6
"616741",3
"616885",3
"616999",3
"617483",4
"618216",3
"618508",3
"619262",3
"619886",11
"621006",8
"621077",3
"621510",4
"621745",4
"621863",3
"621977",5
"622342",12
"622462",3
"622496",6
"622520",3
"622691",3
"623185",3
"623866",3
"624110",4
"624565",5
"624716",3
"625098",4
"625284",3
"625410",3
"626841",6
"627493",3
"627595",3
"628377",3
"629016",5
"629763",5
"630570",3
"630918",3
"631711",4
"633660",6
"633980",3
"634972",3
"635232",3
"636213",3
"636983",3
"636997",5
"637009",4
